Gene	Eif3b_1	Eif3b_2	IgG_1	IgG_2	Symbol	Chr	GeneType	Description
ENSG00000171962.17	2.58	1.05	0.0	1.54	LRRC48	chr17	protein_coding	leucine rich repeat containing 48
ENSG00000133106.14	1.69	0.43	0.0	0.0	EPSTI1	chr13	protein_coding	epithelial stromal interaction 1 (breast)
ENSG00000243081.2	0.86	1.09	0.0	0.0	RP11-231E6.1	chr3	lincRNA		--
ENSG00000168874.12	1.65	0.0	3.34	4.92	ATOH8	chr2	protein_coding	atonal homolog 8 (Drosophila)
ENSG00000255428.1	0.52	1.59	0.0	0.0	RP11-794P6.1	chr11	sense_intronic		--
ENSG00000242536.1	0.0	0.48	0.0	0.0	RP11-290K4.2	chr3	lincRNA		--
ENSG00000131323.14	5.09	5.32	7.34	6.17	TRAF3	chr14	protein_coding	TNF receptor-associated factor 3
ENSG00000105993.14	6.82	5.82	9.75	4.78	DNAJB6	chr7	protein_coding	DnaJ (Hsp40) homolog, subfamily B, member 6
ENSG00000112195.8	0.81	0.41	0.0	0.0	TREML2	chr6	protein_coding	triggering receptor expressed on myeloid cells-like 2
ENSG00000107959.15	4.7	4.61	4.23	1.04	PITRM1	chr10	protein_coding	pitrilysin metallopeptidase 1
ENSG00000228935.1	1.32	0.33	0.0	0.0	RP11-189G24.2	chr20	processed_pseudogene		--
ENSG00000166589.12	0.0	0.23	0.0	0.0	CDH16	chr16	protein_coding	cadherin 16, KSP-cadherin
ENSG00000268975.1	2.19	1.67	0.0	0.0	MIA-RAB4B	chr19	protein_coding	MIA-RAB4B readthrough (NMD candidate)
ENSG00000237886.1	3.09	2.83	0.0	0.0	LINC01573	chr9	antisense	long intergenic non-protein coding RNA 1573
ENSG00000184459.8	0.0	0.31	0.0	0.0	BPIFC	chr22	protein_coding	BPI fold containing family C
ENSG00000025293.15	13.95	14.83	46.81	36.47	PHF20	chr20	protein_coding	PHD finger protein 20
ENSG00000105229.6	7.02	4.22	10.33	5.07	PIAS4	chr19	protein_coding	protein inhibitor of activated STAT, 4
ENSG00000236634.1	0.0	0.0	0.0	13.61	AC016903.1	chr2	lincRNA		--
ENSG00000070950.9	3.54	2.96	4.16	6.12	RAD18	chr3	protein_coding	RAD18 E3 ubiquitin protein ligase
ENSG00000006016.10	13.87	12.4	9.1	6.7	CRLF1	chr19	protein_coding	cytokine receptor-like factor 1
ENSG00000260803.1	0.0	2.65	0.0	0.0	Z84812.4	chr16	processed_transcript		--
ENSG00000178096.8	5.54	6.11	11.21	5.5	BOLA1	chr1	protein_coding	bolA family member 1
ENSG00000198898.12	0.84	0.37	4.36	4.99	CAPZA2	chr7	protein_coding	capping protein (actin filament) muscle Z-line, alpha 2
ENSG00000276747.1	0.56	0.29	0.0	0.0	PADI6	chr1	protein_coding	peptidyl arginine deiminase, type VI
ENSG00000188636.3	5.5	8.03	4.45	5.82	LDOC1L	chr22	protein_coding	leucine zipper, down-regulated in cancer 1-like
ENSG00000259205.2	1.2	2.13	0.0	7.13	PRKXP1	chr15	processed_pseudogene	protein kinase, X-linked, pseudogene 1
ENSG00000107902.13	2.6	0.57	18.02	0.0	LHPP	chr10	protein_coding	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
ENSG00000254469.7	2.96	3.62	0.0	0.0	RP11-849H4.2	chr11	protein_coding		--
ENSG00000137078.8	1.01	0.52	0.0	3.02	SIT1	chr9	protein_coding	signaling threshold regulating transmembrane adaptor 1
ENSG00000183208.12	2.39	1.92	6.11	4.5	GDPGP1	chr15	protein_coding	GDP-D-glucose phosphorylase 1
ENSG00000167157.10	0.0	2.35	0.0	0.0	PRRX2	chr9	protein_coding	paired related homeobox 2
ENSG00000111196.9	1.21	1.48	17.63	4.32	MAGOHB	chr12	protein_coding	mago-nashi homolog B (Drosophila)
ENSG00000171487.14	0.34	0.69	0.0	0.0	NLRP5	chr19	protein_coding	NLR family, pyrin domain containing 5
ENSG00000260625.2	0.0	1.04	0.0	0.0	RP11-452L6.7	chr16	antisense		--
ENSG00000260505.1	2.77	2.0	0.0	2.75	RP11-410C4.5	chr1	lincRNA		--
ENSG00000240521.1	0.0	0.48	0.0	0.0	RP11-680B3.2	chr3	antisense		--
ENSG00000163481.7	2.81	4.29	0.0	6.27	RNF25	chr2	protein_coding	ring finger protein 25
ENSG00000087077.11	8.29	13.31	7.74	3.8	TRIP6	chr7	protein_coding	thyroid hormone receptor interactor 6
ENSG00000164530.13	0.0	0.29	0.0	0.0	PI16	chr6	protein_coding	peptidase inhibitor 16
ENSG00000160785.13	3.12	4.11	6.68	2.18	SLC25A44	chr1	protein_coding	solute carrier family 25, member 44
ENSG00000234592.1	0.0	0.83	0.0	0.0	RP11-41L14.1	chrX	processed_pseudogene		--
ENSG00000115165.9	0.0	0.15	0.0	0.0	CYTIP	chr2	protein_coding	cytohesin 1 interacting protein
ENSG00000104549.11	32.11	37.64	41.18	14.82	SQLE	chr8	protein_coding	squalene epoxidase
ENSG00000273674.4	8.96	4.85	27.2	26.69	CTD-2378E12.1	chr15	lincRNA		--
ENSG00000183607.9	0.81	0.41	0.0	0.0	GKN2	chr2	protein_coding	gastrokine 2
ENSG00000277721.1	5.29	0.0	0.0	0.0	Metazoa_SRP	chrX	misc_RNA		--
ENSG00000204700.4	1.06	0.0	0.0	0.0	OR2J2	chr6	protein_coding	olfactory receptor, family 2, subfamily J, member 2
ENSG00000147324.10	2.93	5.81	2.54	4.37	MFHAS1	chr8	protein_coding	malignant fibrous histiocytoma amplified sequence 1
ENSG00000204469.12	49.47	49.96	28.37	38.86	PRRC2A	chr6	protein_coding	proline-rich coiled-coil 2A
ENSG00000180279.5	0.0	0.37	17.42	0.0	MGC45922	chr19	lincRNA		--
ENSG00000172264.16	0.5	0.51	0.0	2.22	MACROD2	chr20	protein_coding	MACRO domain containing 2
ENSG00000102053.12	2.04	2.07	3.37	2.76	ZC3H12B	chrX	protein_coding	zinc finger CCCH-type containing 12B
ENSG00000185129.5	13.09	11.78	71.63	46.63	PURA	chr5	protein_coding	purine-rich element binding protein A
ENSG00000260345.1	4.51	6.88	0.0	0.0	AC009052.12	chr16	processed_transcript		--
ENSG00000229313.1	4.66	1.19	0.0	0.0	RP3-425P12.5	chr6	antisense		--
ENSG00000166401.13	0.86	0.18	0.0	0.0	SERPINB8	chr18	protein_coding	serpin peptidase inhibitor, clade B (ovalbumin), member 8
ENSG00000276789.1	0.0	0.88	0.0	0.0	RP11-1081L13.5	chr11	processed_pseudogene		--
ENSG00000205212.3	0.0	1.1	0.0	0.0	CCDC144NL	chr17	protein_coding	coiled-coil domain containing 144 family, N-terminal like
ENSG00000135960.9	1.52	0.77	0.0	5.42	EDAR	chr2	protein_coding	ectodysplasin A receptor
ENSG00000129103.17	12.36	14.01	13.64	8.36	SUMF2	chr7	protein_coding	sulfatase modifying factor 2
ENSG00000169679.14	6.82	7.23	4.48	4.39	BUB1	chr2	protein_coding	BUB1 mitotic checkpoint serine/threonine kinase
ENSG00000008710.17	6.32	6.87	5.77	2.26	PKD1	chr16	protein_coding	polycystic kidney disease 1 (autosomal dominant)
ENSG00000267642.1	8.36	6.45	0.0	6.42	RP11-258B16.1	chr18	lincRNA		--
ENSG00000231054.1	0.0	0.0	29.49	7.23	AC009236.2	chr2	lincRNA		--
ENSG00000179091.4	23.29	22.33	13.15	61.3	CYC1	chr8	protein_coding	cytochrome c-1
ENSG00000148248.13	32.03	23.95	24.0	23.55	SURF4	chr9	protein_coding	surfeit 4
ENSG00000221869.4	5.86	4.55	7.49	14.69	CEBPD	chr8	protein_coding	CCAAT/enhancer binding protein (C/EBP), delta
ENSG00000224188.1	0.0	0.0	0.0	9.18	UBE2D3P4	chr13	processed_pseudogene	ubiquitin-conjugating enzyme E2D 3 pseudogene 4
ENSG00000211751.7	0.45	0.46	0.0	0.0	TRBV25-1	chr7	TR_C_gene	T cell receptor beta variable 25-1
ENSG00000228643.1	3.43	0.87	0.0	0.0	AC079779.4	chr2	processed_transcript		--
ENSG00000131845.14	0.73	0.89	0.0	5.21	ZNF304	chr19	protein_coding	zinc finger protein 304
ENSG00000166173.10	2.4	3.66	3.42	1.68	LARP6	chr15	protein_coding	La ribonucleoprotein domain family, member 6
ENSG00000233571.1	2.55	0.0	0.0	0.0	RP11-545D19.1	chrX	lincRNA		--
ENSG00000214788.2	0.0	0.81	0.0	6.3	OOSP1	chr11	unitary_pseudogene	oocyte secreted protein 1, pseudogene
ENSG00000228997.1	0.0	1.56	0.0	0.0	RP1-186E20.1	chr10	processed_pseudogene		--
ENSG00000232512.6	0.0	1.0	0.0	0.0	AP000233.2	chr21	lincRNA		--
ENSG00000269564.1	6.94	0.0	0.0	0.0	AC008753.4	chr19	lincRNA		--
ENSG00000153044.9	5.32	5.66	0.0	11.52	CENPH	chr5	protein_coding	centromere protein H
ENSG00000107105.14	3.74	2.34	3.49	4.28	ELAVL2	chr9	protein_coding	ELAV like neuron-specific RNA binding protein 2
ENSG00000179163.11	20.34	12.19	7.97	27.36	FUCA1	chr1	protein_coding	fucosidase, alpha-L- 1, tissue
ENSG00000236714.1	0.6	0.61	0.0	0.0	AC005592.1	chr5	lincRNA		--
ENSG00000259239.1	10.68	7.56	0.0	0.0	RP11-521C20.1	chr15	processed_pseudogene		--
ENSG00000177138.15	1.66	0.28	0.0	0.0	FAM9B	chrX	protein_coding	family with sequence similarity 9, member B
ENSG00000183378.11	15.03	11.74	8.49	14.57	OVCH2	chr11	protein_coding	ovochymase 2 (gene/pseudogene)
ENSG00000229946.2	0.0	0.36	0.0	0.0	B3GNT2P1	chrX	processed_pseudogene	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 pseudogene 1
ENSG00000267746.1	2.65	3.37	32.17	0.0	RP11-379L18.1	chr18	antisense		--
ENSG00000177294.6	0.0	0.2	0.0	0.0	FBXO39	chr17	protein_coding	F-box protein 39
ENSG00000111667.13	9.08	12.14	23.07	10.06	USP5	chr12	protein_coding	ubiquitin specific peptidase 5 (isopeptidase T)
ENSG00000279694.1	0.0	0.8	0.0	0.0	RP11-5O23.2	chr15	TEC		--
ENSG00000117411.16	8.45	10.81	0.0	16.32	B4GALT2	chr1	protein_coding	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2
ENSG00000164715.5	7.73	8.37	4.56	7.15	LMTK2	chr7	protein_coding	lemur tyrosine kinase 2
ENSG00000166743.9	0.62	0.0	0.0	0.0	ACSM1	chr16	protein_coding	acyl-CoA synthetase medium-chain family member 1
ENSG00000165671.18	10.0	8.79	1.2	6.19	NSD1	chr5	protein_coding	nuclear receptor binding SET domain protein 1
ENSG00000268797.1	1.17	0.0	0.0	0.0	CTC-490E21.12	chr19	protein_coding		--
ENSG00000186184.15	5.85	4.14	15.59	7.65	POLR1D	chr13	protein_coding	polymerase (RNA) I polypeptide D, 16kDa
ENSG00000254064.1	0.0	1.99	0.0	0.0	CTD-2530N21.4	chr8	antisense		--
ENSG00000158773.14	8.04	6.33	4.44	0.0	USF1	chr1	protein_coding	upstream transcription factor 1
ENSG00000266614.1	2.91	0.0	0.0	0.0	RP11-94B19.4	chr18	lincRNA		--
ENSG00000257831.1	0.0	1.75	0.0	0.0	RP11-596D21.1	chr14	antisense		--
ENSG00000177614.9	1.54	1.34	3.12	3.06	PGBD5	chr1	protein_coding	piggyBac transposable element derived 5
ENSG00000080561.13	5.61	4.64	5.67	9.74	MID2	chrX	protein_coding	midline 2
ENSG00000279071.1	2.93	1.3	0.0	0.0	RP11-83B20.3	chr12	TEC		--
ENSG00000275410.4	0.68	0.8	0.0	8.06	HNF1B	chr17	protein_coding	HNF1 homeobox B
ENSG00000175745.11	12.06	9.34	2.18	9.65	NR2F1	chr5	protein_coding	nuclear receptor subfamily 2, group F, member 1
ENSG00000196826.7	0.45	0.0	0.0	0.0	CTD-2192J16.17	chr19	protein_coding		--
ENSG00000230772.1	0.0	1.24	0.0	0.0	VN1R108P	chr20	unprocessed_pseudogene	vomeronasal 1 receptor 108 pseudogene
ENSG00000260619.1	1.09	0.0	0.0	0.0	RP11-775C24.3	chr15	lincRNA		--
ENSG00000202175.1	11.58	0.0	0.0	0.0	RNA5SP128	chr3	rRNA	RNA, 5S ribosomal pseudogene 128
ENSG00000135636.13	0.65	0.29	0.0	0.0	DYSF	chr2	protein_coding	dysferlin
ENSG00000127554.12	6.19	6.16	10.25	5.03	GFER	chr16	protein_coding	growth factor, augmenter of liver regeneration
ENSG00000273036.2	3.53	2.82	0.0	3.0	FAM95C	chr9	lincRNA	family with sequence similarity 95, member C
ENSG00000138172.10	0.69	0.7	0.0	0.0	CALHM2	chr10	protein_coding	calcium homeostasis modulator 2
ENSG00000165533.18	0.61	0.93	0.0	1.45	TTC8	chr14	protein_coding	tetratricopeptide repeat domain 8
ENSG00000166803.10	7.13	3.02	14.43	0.0	KIAA0101	chr15	protein_coding	KIAA0101
ENSG00000159182.4	1.74	0.0	0.0	0.0	PRAC1	chr17	protein_coding	prostate cancer susceptibility candidate 1
ENSG00000179930.5	0.37	0.28	0.0	0.0	ZNF648	chr1	protein_coding	zinc finger protein 648
ENSG00000186998.15	6.82	6.8	0.0	5.3	EMID1	chr22	protein_coding	EMI domain containing 1
ENSG00000148356.13	3.89	7.53	7.09	9.28	LRSAM1	chr9	protein_coding	leucine rich repeat and sterile alpha motif containing 1
ENSG00000202198.1	14.21	40.28	49.27	36.26	RN7SK	chr6	misc_RNA	RNA, 7SK small nuclear
ENSG00000184956.15	0.76	0.6	1.02	0.5	MUC6	chr11	protein_coding	mucin 6, oligomeric mucus/gel-forming
ENSG00000100401.19	24.18	25.94	20.52	14.71	RANGAP1	chr22	protein_coding	Ran GTPase activating protein 1
ENSG00000263529.2	0.0	2.27	0.0	0.0	RN7SL122P	chr1	misc_RNA	RNA, 7SL, cytoplasmic 122, pseudogene
ENSG00000248600.1	0.0	1.12	0.0	0.0	CTD-2308B18.4	chr5	lincRNA		--
ENSG00000126266.3	0.29	0.59	0.0	3.46	FFAR1	chr19	protein_coding	free fatty acid receptor 1
ENSG00000129083.12	9.15	7.57	39.34	3.41	COPB1	chr11	protein_coding	coatomer protein complex, subunit beta 1
ENSG00000144036.14	2.17	2.78	0.0	3.33	EXOC6B	chr2	protein_coding	exocyst complex component 6B
ENSG00000078967.12	0.45	0.85	0.0	7.21	UBE2D4	chr7	protein_coding	ubiquitin-conjugating enzyme E2D 4 (putative)
ENSG00000104976.11	0.0	1.66	9.9	2.43	SNAPC2	chr19	protein_coding	small nuclear RNA activating complex, polypeptide 2, 45kDa
ENSG00000223634.1	0.0	1.28	0.0	0.0	AC012506.3	chr2	lincRNA		--
ENSG00000170089.15	0.0	0.78	0.0	0.0	RP11-423H2.1	chr5	transcribed_unprocessed_pseudogene		--
ENSG00000214604.3	0.0	0.82	0.0	0.0	NPM1P36	chr6	processed_pseudogene	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 36
ENSG00000075043.17	2.61	2.19	0.0	0.42	KCNQ2	chr20	protein_coding	potassium channel, voltage gated KQT-like subfamily Q, member 2
ENSG00000258538.5	0.0	1.12	0.0	0.0	RP11-753D20.3	chr14	lincRNA		--
ENSG00000112062.10	6.33	5.14	5.48	8.97	MAPK14	chr6	protein_coding	mitogen-activated protein kinase 14
ENSG00000257310.1	0.5	0.88	0.0	0.0	RP11-496I2.2	chr14	lincRNA		--
ENSG00000225938.1	0.0	0.85	0.0	0.0	RP4-575N6.4	chr1	antisense		--
ENSG00000256627.1	0.0	1.04	0.0	0.0	RP11-6B19.3	chr12	processed_pseudogene		--
ENSG00000245748.1	0.47	0.4	7.59	0.0	RP11-367J11.2	chr4	antisense		--
ENSG00000238004.1	0.0	1.34	0.0	0.0	AC009227.3	chr2	lincRNA		--
ENSG00000175701.10	2.29	2.17	0.0	3.9	LINC00116	chr2	protein_coding	long intergenic non-protein coding RNA 116
ENSG00000188032.9	0.94	0.0	0.0	0.0	C19orf67	chr19	protein_coding	chromosome 19 open reading frame 67
ENSG00000215160.2	0.0	0.34	0.0	0.0	OR7E122P	chr3	unprocessed_pseudogene	olfactory receptor, family 7, subfamily E, member 122 pseudogene
ENSG00000068001.13	5.47	5.07	1.95	4.79	HYAL2	chr3	protein_coding	hyaluronoglucosaminidase 2
ENSG00000223358.5	0.95	1.45	0.0	0.0	EHHADH-AS1	chr3	antisense	EHHADH antisense RNA 1
ENSG00000166025.17	3.96	5.09	3.62	3.56	AMOTL1	chr11	protein_coding	angiomotin like 1
ENSG00000197991.11	0.11	0.0	1.28	0.0	PCDH20	chr13	protein_coding	protocadherin 20
ENSG00000143375.14	5.15	3.96	0.0	3.14	CGN	chr1	protein_coding	cingulin
ENSG00000161328.10	1.46	1.85	0.0	2.89	LRRC56	chr11	protein_coding	leucine rich repeat containing 56
ENSG00000125851.9	0.8	0.55	0.0	0.8	PCSK2	chr20	protein_coding	proprotein convertase subtilisin/kexin type 2
ENSG00000207585.1	0.0	2.5	0.0	0.0	MIR181D	chr19	miRNA	microRNA 181d
ENSG00000254100.1	0.0	0.0	30.37	7.45	RP11-675F6.4	chr8	lincRNA		--
ENSG00000211683.3	0.0	0.63	0.0	0.0	KB-1572G7.3	chr22	processed_transcript		--
ENSG00000204569.9	9.8	9.37	0.0	8.84	PPP1R10	chr6	protein_coding	protein phosphatase 1, regulatory subunit 10
ENSG00000163995.18	0.93	0.81	0.0	2.37	ABLIM2	chr4	protein_coding	actin binding LIM protein family, member 2
ENSG00000232294.5	0.0	1.75	0.0	0.0	RP4-715N11.2	chr20	lincRNA		--
ENSG00000077009.13	0.0	0.3	14.29	3.51	NMRK2	chr19	protein_coding	nicotinamide riboside kinase 2
ENSG00000276476.2	0.0	0.43	0.0	3.32	LINC00540	chr13	lincRNA	long intergenic non-protein coding RNA 540
ENSG00000224718.1	0.74	1.13	0.0	0.0	RP11-222A5.1	chr1	lincRNA		--
ENSG00000203809.5	0.0	0.0	0.0	6.96	LINC00577	chr6	lincRNA	long intergenic non-protein coding RNA 577
ENSG00000167644.11	0.0	0.0	0.0	7.61	C19orf33	chr19	protein_coding	chromosome 19 open reading frame 33
ENSG00000129559.12	0.0	0.61	0.0	0.0	NEDD8	chr14	protein_coding	neural precursor cell expressed, developmentally down-regulated 8
ENSG00000148655.14	0.81	0.82	3.27	0.0	C10orf11	chr10	protein_coding	chromosome 10 open reading frame 11
ENSG00000227350.1	2.88	1.47	0.0	0.0	RP11-438P9.2	chr9	processed_pseudogene		--
ENSG00000174099.10	2.24	2.35	3.2	3.92	MSRB3	chr12	protein_coding	methionine sulfoxide reductase B3
ENSG00000213188.3	4.99	1.69	0.0	0.0	YBX1P4	chr7	processed_pseudogene	Y box binding protein 1 pseudogene 4
ENSG00000250564.1	0.0	0.51	24.38	0.0	RP11-215P8.4	chr5	lincRNA		--
ENSG00000233382.6	4.66	1.35	0.0	3.96	NKAPP1	chrX	transcribed_processed_pseudogene	NFKB activating protein pseudogene 1
ENSG00000214253.8	21.19	17.43	32.99	6.47	FIS1	chr7	protein_coding	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)
ENSG00000183734.4	0.0	0.55	0.0	4.32	ASCL2	chr11	protein_coding	achaete-scute family bHLH transcription factor 2
ENSG00000249743.5	1.43	0.73	0.0	0.0	RP11-60A8.1	chr5	lincRNA		--
ENSG00000279773.1	0.0	0.37	0.0	0.0	AL050303.10	chr21	TEC		--
ENSG00000281212.1	11.19	0.0	0.0	0.0	Clostridiales-1	chr2	sRNA		--
ENSG00000099260.10	0.49	0.25	9.01	2.95	PALMD	chr1	protein_coding	palmdelphin
ENSG00000213015.8	29.63	26.56	61.31	38.1	ZNF580	chr19	protein_coding	zinc finger protein 580
ENSG00000232352.1	11.92	2.02	0.0	0.0	SEMA3B-AS1	chr3	antisense	SEMA3B antisense RNA 1 (head to head)
ENSG00000230747.1	0.0	0.46	0.0	0.0	AC021188.4	chr2	antisense		--
ENSG00000215375.6	6.11	5.33	5.3	10.4	MYL5	chr4	protein_coding	myosin, light chain 5, regulatory
ENSG00000227355.1	3.05	0.0	0.0	0.0	RP11-162D16.2	chr9	antisense		--
ENSG00000253035.1	0.0	5.43	0.0	0.0	RNU4ATAC5P	chr11	snRNA	RNA, U4atac small nuclear 5, pseudogene
ENSG00000279357.1	0.0	0.67	0.0	0.0	RP11-475D10.4	chr16	TEC		--
ENSG00000158669.11	8.85	7.38	7.77	5.72	AGPAT6	chr8	protein_coding	1-acylglycerol-3-phosphate O-acyltransferase 6
ENSG00000088986.10	4.97	3.09	46.96	1.65	DYNLL1	chr12	protein_coding	dynein, light chain, LC8-type 1
ENSG00000249516.1	0.0	0.6	0.0	0.0	CTD-2201E18.2	chr5	processed_pseudogene		--
ENSG00000013441.15	4.89	4.56	9.9	6.47	CLK1	chr2	protein_coding	CDC-like kinase 1
ENSG00000198843.12	2.33	2.2	6.06	0.0	SELT	chr3	protein_coding		--
ENSG00000118004.17	0.53	0.54	0.0	0.0	COLEC11	chr2	protein_coding	collectin sub-family member 11
ENSG00000144579.7	4.35	8.36	2.93	2.88	CTDSP1	chr2	protein_coding	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1
ENSG00000260583.1	0.0	0.61	0.0	0.0	AP000223.42	chr21	antisense		--
ENSG00000215325.4	0.0	0.55	0.0	0.0	ASS1P10	chr5	processed_pseudogene	argininosuccinate synthetase 1 pseudogene 10
ENSG00000226240.1	0.0	0.94	0.0	0.0	LINC00381	chr13	lincRNA	long intergenic non-protein coding RNA 381
ENSG00000199396.1	0.0	5.75	0.0	0.0	RNA5S5	chr1	rRNA	RNA, 5S ribosomal 5
ENSG00000169814.12	5.44	2.9	6.01	0.0	BTD	chr3	protein_coding	biotinidase
ENSG00000163618.17	0.0	0.29	0.0	2.26	CADPS	chr3	protein_coding	Ca++-dependent secretion activator
ENSG00000229256.1	0.0	0.31	0.0	0.0	ST13P13	chr10	processed_pseudogene	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 13
ENSG00000106714.17	0.0	0.24	0.0	0.0	CNTNAP3	chr9	protein_coding	contactin associated protein-like 3
ENSG00000261402.1	6.81	4.36	6.36	13.53	RP11-378I6.1	chr9	lincRNA		--
ENSG00000166326.6	1.45	1.9	4.4	2.16	TRIM44	chr11	protein_coding	tripartite motif containing 44
ENSG00000259459.5	0.68	0.0	0.0	0.0	RP11-321G12.1	chr15	lincRNA		--
ENSG00000260274.1	0.0	1.43	11.4	0.0	RP11-817O13.8	chr15	lincRNA		--
ENSG00000184986.10	9.84	8.49	0.0	0.0	TMEM121	chr14	protein_coding	transmembrane protein 121
ENSG00000172339.9	1.43	1.06	0.0	1.71	ALG14	chr1	protein_coding	ALG14, UDP-N-acetylglucosaminyltransferase subunit
ENSG00000253961.1	2.09	0.0	0.0	0.0	RP11-363L24.3	chr8	antisense		--
