#Chr	Start	End	PeakID	Tags	Strand	Length	maxHeight	Summit
chr1	43597767	43597844	chr1_365161	7	+	78	6	43597809
chr1	43603831	43603939	chr1_365190	10	+	109	5	43603881
chr1	43605196	43605261	chr1_365193	7	+	66	5	43605234
chr1	43606293	43606406	chr1_365200	10	+	114	5	43606369
chr1	43619507	43619573	chr1_365230	8	+	67	6	43619550
chr1	43622948	43623035	chr1_365251	7	+	88	5	43622972
chr1	43970238	43970281	chr1_365428	4	+	44	4	43970254
chr1	43977050	43977156	chr1_365449	9	+	107	4	43977063
chr1	44775584	44775600	chr1_365653	8	+	17	8	44775594
chr1	44775864	44775955	chr1_365655	40	+	92	24	44775903
chr1	44776033	44776064	chr1_365656	8	+	32	8	44776033
chr1	44776491	44776558	chr1_365658	37	+	68	24	44776513
chr1	44777841	44777922	chr1_365662	45	+	82	28	44777877
chr1	44778389	44778459	chr1_365667	22	+	71	16	44778435
chr1	45521817	45521870	chr1_387258	6	-	54	6	45521833
chr1	45551007	45551047	chr1_365717	4	+	41	4	45551025
chr1	46132717	46132739	chr1_387332	7	-	23	7	46132721
chr1	50959889	50959922	chr1_387794	8	-	34	8	50959901
chr1	50960012	50960160	chr1_387796	12	-	149	5	50960104
chr1	53772415	53772449	chr1_388235	4	-	35	4	53772429
chr1	53803976	53804009	chr1_388248	4	-	34	4	53803988
chr1	54200353	54200395	chr1_366375	4	+	43	4	54200359
chr1	54849633	54849700	chr1_388545	12	-	68	10	54849668
chr1	54850758	54850809	chr1_388559	6	-	52	6	54850781
chr1	54865302	54865426	chr1_388596	19	-	125	9	54865366
chr1	54871349	54871463	chr1_388600	13	-	115	7	54871420
chr1	55773317	55773340	chr1_388735	9	-	24	9	55773320
chr1	58782636	58782723	chr1_389014	8	-	88	6	58782670
chr1	58782869	58782987	chr1_389018	12	-	119	6	58782937
chr1	58783334	58783430	chr1_389023	13	-	97	8	58783370
chr1	58783438	58783541	chr1_389024	11	-	104	8	58783474
chr1	58783568	58783649	chr1_389025	7	-	82	6	58783600
chr1	58783695	58783728	chr1_389026	9	-	34	9	58783706
chr1	62437125	62437219	chr1_367014	8	+	95	7	62437180
chr1	65636342	65636360	chr1_367618	4	+	19	4	65636344
chr1	65730239	65730262	chr1_367620	6	+	24	6	65730240
chr1	67430290	67430393	chr1_389475	13	-	104	6	67430311
chr1	68159172	68159246	chr1_389621	8	-	75	5	68159208
chr1	68232347	68232408	chr1_389701	5	-	62	5	68232373
chr1	70221592	70221680	chr1_367749	12	+	89	8	70221660
chr1	70232273	70232313	chr1_367788	5	+	41	5	70232296
chr1	71067678	71067703	chr1_389817	10	-	26	10	71067684
chr1	75787070	75787155	chr1_367952	54	+	86	33	75787087
chr1	75787887	75787974	chr1_367956	63	+	88	34	75787941
chr1	75789487	75789546	chr1_367963	8	+	60	6	75789506
chr1	77979002	77979043	chr1_390251	6	-	42	6	77979025
chr1	84506078	84506123	chr1_390418	5	-	46	5	84506097
chr1	86760278	86760303	chr1_390663	3	-	26	3	86760280
chr1	91387360	91387544	chr1_390885	97	-	185	66	91387476
chr1	91830026	91830046	chr1_390926	7	-	21	7	91830028
chr1	92189828	92189860	chr1_368912	6	+	33	6	92189834
chr1	92832044	92832117	chr1_368956	19	+	74	13	92832089
chr1	92837289	92837384	chr1_368974	89	+	96	53	92837362
chr1	92840718	92840851	chr1_368983	112	+	134	43	92840744
chr1	93180233	93180285	chr1_391160	4	-	53	4	93180261
chr1	93345971	93346083	chr1_369056	9	+	113	5	93346024
chr1	93346214	93346255	chr1_369058	5	+	42	5	93346218
chr1	93847568	93847663	chr1_369119	46	+	96	34	93847639
chr1	100132877	100132904	chr1_391469	5	-	28	5	100132882
chr1	107570595	107570643	chr1_391561	4	-	49	4	107570610
chr1	107570703	107570748	chr1_391562	9	-	46	7	107570712
chr1	107056954	107056995	chr1_369603	4	+	42	4	107056974
chr1	108336120	108336127	chr1_369621	4	+	8	4	108336122
chr1	108337201	108337214	chr1_369622	4	+	14	4	108337201
chr1	108573524	108573548	chr1_391614	7	-	25	7	108573526
chr1	109100203	109100359	chr1_369716	27	+	157	11	109100234
chr1	109100367	109100640	chr1_369717	104	+	274	35	109100593
chr1	109505189	109505208	chr1_391775	5	-	20	5	109505191
chr1	110034632	110034676	chr1_370032	5	+	45	5	110034650
chr1	110339662	110339799	chr1_370202	17	+	138	8	110339736
chr1	112699893	112699930	chr1_370533	4	+	38	4	112699899
chr1	112917365	112917481	chr1_392035	8	-	117	5	112917456
chr1	112917801	112917851	chr1_392041	7	-	51	5	112917805
chr1	112917902	112917965	chr1_392042	6	-	64	5	112917933
chr1	112929328	112929352	chr1_392054	5	-	25	5	112929339
chr1	112956034	112956186	chr1_392059	25	-	153	13	112956157
chr1	116373439	116373522	chr1_370812	9	+	84	6	116373478
chr1	116384789	116384842	chr1_370825	9	+	54	7	116384819
chr1	116387287	116387300	chr1_370829	6	+	14	6	116387287
chr1	116387306	116387356	chr1_370830	8	+	51	6	116387313
chr1	116388957	116389001	chr1_370839	9	+	45	9	116388968
chr1	116389438	116389541	chr1_370841	11	+	104	7	116389468
chr1	116392876	116392931	chr1_370853	7	+	56	6	116392897
chr1	116395234	116395285	chr1_370862	10	+	52	8	116395258
chr1	116397921	116397952	chr1_370868	9	+	32	9	116397930
chr1	116398624	116398754	chr1_370871	16	+	131	7	116398693
chr1	116399036	116399084	chr1_370874	7	+	49	6	116399062
chr1	116400860	116401006	chr1_370878	21	+	147	7	116400954
chr1	116949468	116949520	chr1_370919	4	+	53	4	116949489
chr1	117367575	117367701	chr1_371029	7	+	127	4	117367606
chr1	117493146	117493177	chr1_371056	4	+	32	4	117493152
chr1	119744004	119744099	chr1_371303	6	+	96	5	119744050
chr1	144419266	144419309	chr1_371339	5	+	44	5	144419290
chr1	148011093	148011121	chr1_371461	5	+	29	5	148011094
chr1	148038751	148038791	chr1_392858	4	-	41	4	148038756
chr1	148522634	148522680	chr1_371470	7	+	47	7	148522651
chr1	148952803	148952828	chr1_371477	4	+	26	4	148952805
chr1	149861135	149861159	chr1_392904	4	-	25	4	149861142
chr1	149886185	149886251	chr1_392907	6	-	67	5	149886221
chr1	150235937	150235994	chr1_392988	6	-	58	5	150235957
chr1	150237050	150237078	chr1_371536	6	+	29	6	150237053
chr1	150509939	150509989	chr1_371628	3	+	51	3	150509956
chr1	150967102	150967137	chr1_393162	4	-	36	4	150967106
chr1	151146588	151146617	chr1_393236	4	-	30	4	151146592
chr1	151247862	151247932	chr1_371742	5	+	71	4	151247883
chr1	151327313	151327362	chr1_393311	4	-	50	4	151327330
chr1	151763453	151763496	chr1_393410	5	-	44	5	151763466
chr1	153670170	153670230	chr1_393489	5	-	61	4	153670195
chr1	153981844	153982117	chr1_393653	7	-	274	4	153981972
chr1	154212361	154212378	chr1_393686	5	-	18	5	154212376
chr1	154212457	154212483	chr1_393687	5	-	27	5	154212457
chr1	154259785	154259863	chr1_372070	16	+	79	9	154259792
chr1	155054423	155054478	chr1_372265	6	+	56	5	155054424
chr1	155254900	155254921	chr1_372350	5	+	22	5	155254902
chr1	155312287	155312337	chr1_372382	6	+	51	6	155312301
chr1	155919904	155920047	chr1_394137	55	-	144	20	155919932
chr1	155925957	155926024	chr1_394145	19	-	68	15	155925976
chr1	155926027	155926085	chr1_394146	7	-	59	7	155926038
chr1	156249966	156250053	chr1_394264	9	-	88	6	156250007
chr1	156310635	156310688	chr1_394349	5	-	54	5	156310664
chr1	156310955	156310997	chr1_394351	8	-	43	8	156310969
chr1	156311083	156311120	chr1_394354	5	-	38	5	156311096
chr1	156312180	156312221	chr1_394358	5	-	42	5	156312208
chr1	156318889	156318931	chr1_394366	6	-	43	6	156318903
chr1	156338153	156338240	chr1_394390	12	-	88	7	156338187
chr1	156594138	156594186	chr1_372605	5	+	49	4	156594140
chr1	156743328	156743407	chr1_394607	11	-	80	8	156743375
chr1	157740431	157740454	chr1_372706	5	+	24	5	157740433
chr1	159920458	159920503	chr1_394754	6	-	46	6	159920482
chr1	160683640	160683661	chr1_372891	6	+	22	6	160683643
chr1	161612746	161612786	chr1_373037	4	+	41	4	161612761
chr1	161621670	161621695	chr1_373038	4	+	26	4	161621670
chr1	172130039	172130060	chr1_395461	4	-	22	4	172130042
chr1	173864177	173864219	chr1_395528	19	-	43	19	173864191
chr1	173864367	173864451	chr1_395529	44	-	85	30	173864389
chr1	173865349	173865449	chr1_395538	48	-	101	34	173865397
chr1	173865623	173865686	chr1_395540	17	-	64	10	173865636
chr1	173865967	173866044	chr1_395544	48	-	78	35	173866001
chr1	173866305	173866353	chr1_395548	13	-	49	13	173866326
chr1	173866633	173866713	chr1_395551	42	-	81	25	173866687
chr1	173866877	173866939	chr1_395553	43	-	63	35	173866914
chr1	173867033	173867043	chr1_395557	8	-	11	8	173867040
chr1	173867673	173867785	chr1_395559	70	-	113	47	173867700
chr1	179345024	179345048	chr1_374791	5	+	25	5	179345025
chr1	179452985	179453018	chr1_374815	4	+	34	4	179452994
chr1	180632056	180632090	chr1_374980	4	+	35	4	180632064
chr1	182212453	182212493	chr1_396084	11	-	41	11	182212466
chr1	183023853	183023962	chr1_375167	16	+	110	8	183023927
chr1	188696751	188696773	chr1_396357	5	-	23	5	188696754
chr1	201023627	201023648	chr1_396742	4	-	22	4	201023628
chr1	204507017	204507108	chr1_397117	6	-	92	5	204507031
chr1	204562408	204562451	chr1_397118	22	-	44	22	204562412
chr1	205303126	205303147	chr1_376645	5	+	22	5	205303130
chr1	206685386	206685508	chr1_376815	5	+	123	5	206685474
chr1	207752173	207752253	chr1_376901	5	+	81	4	207752202
chr1	220012048	220012072	chr1_377609	4	+	25	4	220012049
chr1	222465001	222465080	chr1_377777	12	+	80	9	222465057
chr1	224183269	224183388	chr1_377963	10	+	120	5	224183283
chr1	224357255	224357313	chr1_377985	4	+	59	4	224357287
chr1	224380183	224380231	chr1_378005	3	+	49	3	224380203
chr1	224433846	224433906	chr1_398425	5	-	61	5	224433873
chr1	224433937	224434026	chr1_398427	13	-	90	9	224433956
chr1	224692355	224692376	chr1_398436	4	-	22	4	224692357
chr1	225427953	225428039	chr1_398512	7	-	87	5	225427969
chr1	225645827	225645849	chr1_398648	5	-	23	5	225645829
chr1	225777849	225777951	chr1_378193	12	+	103	5	225777869
chr1	225847083	225847119	chr1_398681	5	-	37	5	225847085
chr1	225920073	225920130	chr1_398753	5	-	58	5	225920109
chr1	225924081	225924171	chr1_398771	8	-	91	6	225924112
chr1	226062738	226062811	chr1_378247	10	+	74	6	226062766
chr1	226064328	226064376	chr1_378251	8	+	49	6	226064349
chr1	226361399	226361461	chr1_398877	6	-	63	5	226361416
chr1	226365051	226365098	chr1_398888	10	-	48	10	226365067
chr1	226367536	226367608	chr1_398894	7	-	73	5	226367562
chr1	226368198	226368279	chr1_398895	7	-	82	6	226368225
chr1	226377151	226377236	chr1_398904	8	-	86	6	226377170
chr1	226377256	226377303	chr1_398905	7	-	48	5	226377274
chr1	226379141	226379227	chr1_398906	8	-	87	5	226379207
chr1	226385558	226385603	chr1_398920	7	-	46	6	226385573
chr1	226407922	226407996	chr1_398946	9	-	75	8	226407960
chr1	226883840	226883890	chr1_378321	4	+	51	4	226883869
chr1	227561258	227561302	chr1_378430	6	+	45	6	227561266
chr1	227735188	227735245	chr1_399136	5	-	58	4	227735219
chr1	228080485	228080522	chr1_399192	5	-	38	5	228080492
chr1	228082728	228082796	chr1_378590	14	+	69	10	228082757
chr1	228097077	228097109	chr1_378635	9	+	33	9	228097077
chr1	228097359	228097452	chr1_378636	10	+	94	5	228097411
chr1	228097621	228097715	chr1_378638	11	+	95	7	228097633
chr1	228098738	228098868	chr1_378652	10	+	131	5	228098763
chr1	228106717	228106814	chr1_399226	8	-	98	4	228106760
chr1	228145510	228145560	chr1_378679	7	+	51	6	228145536
chr1	228146029	228146065	chr1_378683	5	+	37	5	228146038
chr1	228457783	228457819	chr1_399326	6	-	37	6	228457794
chr1	228458488	228458541	chr1_378887	9	+	54	9	228458504
chr1	228628141	228628196	chr1_399331	7	-	56	7	228628146
chr1	228646037	228646077	chr1_399335	2	-	41	2	228646037
chr1	229637752	229637779	chr1_379013	4	+	28	4	229637758
chr1	230197420	230197443	chr1_399514	6	-	24	6	230197423
chr1	230767266	230767290	chr1_399560	6	-	25	6	230767270
chr1	231163724	231163759	chr1_399660	17	-	36	17	231163731
chr1	231338300	231338376	chr1_379328	6	+	77	4	231338311
chr1	231528554	231528577	chr1_399762	2	-	24	2	231528555
chr1	233614310	233614349	chr1_379629	4	+	40	4	233614324
chr1	233905014	233905039	chr1_399984	10	-	26	10	233905019
chr1	234478356	234478461	chr1_400051	7	-	106	5	234478426
chr1	234608554	234608599	chr1_400083	5	-	46	5	234608561
chr1	234608603	234608720	chr1_400084	12	-	118	5	234608652
chr1	234608939	234608981	chr1_400088	6	-	43	6	234608960
chr1	234610033	234610093	chr1_400096	8	-	61	7	234610051
chr1	235127807	235127930	chr1_400162	24	-	124	14	235127858
chr1	235128765	235128792	chr1_400165	7	-	28	7	235128772
chr1	236029617	236029744	chr1_400496	10	-	128	5	236029723
chr1	236042069	236042147	chr1_400502	8	-	79	5	236042075
chr1	236042166	236042232	chr1_400503	5	-	67	5	236042200
chr1	236267925	236267951	chr1_379805	8	+	27	8	236267930
chr1	237660880	237660902	chr1_380044	7	+	23	7	237660883
chr1	242084511	242084553	chr1_400809	24	-	43	24	242084529
chr1	244843346	244843375	chr1_400960	6	-	30	6	244843347
chr1	244851984	244852034	chr1_401000	5	-	51	5	244852001
chr1	244853745	244853779	chr1_401017	6	-	35	6	244853760
chr1	244854060	244854102	chr1_401022	5	-	43	5	244854074
chr1	244855588	244855620	chr1_401030	6	-	33	6	244855607
chr1	244855903	244856049	chr1_401031	9	-	147	5	244855921
chr1	244858036	244858080	chr1_401044	6	-	45	5	244858048
chr1	244858146	244858196	chr1_401046	6	-	51	6	244858171
chr1	244858725	244858841	chr1_401049	11	-	117	7	244858827
chr1	244859274	244859374	chr1_401052	15	-	101	7	244859274
chr1	244863616	244863889	chr1_401074	20	-	274	9	244863777
chr1	244863949	244864031	chr1_401076	6	-	83	5	244863983
chr1	244864099	244864282	chr1_401077	17	-	184	5	244864112
chr1	244864311	244864372	chr1_401079	6	-	62	5	244864342
chr1	244864389	244864482	chr1_401080	10	-	94	6	244864450
chr10	3086047	3086071	chr10_22104	7	+	25	7	3086049
chr10	4816431	4816452	chr10_31119	6	-	22	6	4816434
chr10	7411427	7411446	chr10_22503	6	+	20	6	7411429
chr10	7928043	7928068	chr10_22563	5	+	26	5	7928045
chr10	12089046	12089082	chr10_22725	5	+	37	5	12089057
chr10	12210289	12210322	chr10_22768	4	+	34	4	12210297
chr10	12250310	12250425	chr10_22792	6	+	116	4	12250350
chr10	17229452	17229558	chr10_23068	12	+	107	8	17229519
chr10	19633680	19633711	chr10_32017	10	-	32	10	19633682
chr10	20703156	20703175	chr10_32022	4	-	20	4	20703157
chr10	22412140	22412159	chr10_32152	3	-	20	3	22412142
chr10	24208932	24208960	chr10_32249	4	-	29	4	24208935
chr10	30349238	30349281	chr10_32527	4	-	44	4	30349255
chr10	32919884	32919968	chr10_32686	5	-	85	4	32919928
chr10	33330781	33330805	chr10_32737	5	-	25	5	33330785
chr10	35639780	35639846	chr10_32948	6	-	67	5	35639814
chr10	43874241	43874260	chr10_23991	4	+	20	4	43874242
chr10	47322909	47322932	chr10_24052	6	+	24	6	47322910
chr10	57513203	57513223	chr10_24411	4	+	21	4	57513205
chr10	59134098	59134122	chr10_33584	4	-	25	4	59134101
chr10	67045539	67045581	chr10_33889	7	-	43	7	67045562
chr10	68755171	68755209	chr10_24832	6	+	39	6	68755187
chr10	70423522	70423564	chr10_25165	4	+	43	4	70423540
chr10	71821885	71821962	chr10_34225	13	-	78	9	71821911
chr10	71828983	71829077	chr10_34236	9	-	95	5	71829059
chr10	71834412	71834505	chr10_34247	11	-	94	6	71834457
chr10	72275690	72275812	chr10_25538	11	+	123	5	72275743
chr10	75399000	75399115	chr10_34716	8	-	116	6	75399021
chr10	75401525	75401617	chr10_34739	7	-	93	5	75401532
chr10	77819972	77819994	chr10_26151	8	+	23	8	77819976
chr10	78033852	78033904	chr10_26152	7	+	53	5	78033888
chr10	78035351	78035387	chr10_26155	7	+	37	6	78035355
chr10	78040207	78040255	chr10_26168	7	+	49	6	78040222
chr10	78040614	78040682	chr10_26170	17	+	69	11	78040651
chr10	79347686	79347743	chr10_26316	5	+	58	4	79347708
chr10	80272044	80272064	chr10_35005	5	-	21	5	80272046
chr10	86889683	86889714	chr10_26567	4	+	32	4	86889693
chr10	87754454	87754489	chr10_35333	4	-	36	4	87754463
chr10	87863459	87863485	chr10_26663	9	+	27	9	87863462
chr10	88820472	88820493	chr10_26703	5	+	22	5	88820476
chr10	89251736	89251786	chr10_35403	6	-	51	5	89251744
chr10	91607999	91608020	chr10_35473	4	-	22	4	91608000
chr10	93867140	93867168	chr10_35585	5	-	29	5	93867144
chr10	97058850	97058874	chr10_27403	5	+	25	5	97058851
chr10	97432515	97432588	chr10_27419	5	+	74	5	97432538
chr10	97760782	97760819	chr10_27509	4	+	38	4	97760793
chr10	98268153	98268176	chr10_27560	6	+	24	6	98268154
chr10	100237182	100237256	chr10_36291	9	-	75	7	100237224
chr10	100347256	100347531	chr10_27645	42	+	276	8	100347386
chr10	100362018	100362166	chr10_27679	7	+	149	5	100362094
chr10	100363221	100363307	chr10_27695	11	+	87	8	100363259
chr10	100526974	100527074	chr10_36369	8	-	101	7	100527046
chr10	100529428	100529456	chr10_36371	5	-	29	5	100529439
chr10	100529766	100529848	chr10_36373	9	-	83	7	100529777
chr10	100821300	100821327	chr10_27796	5	+	28	5	100821308
chr10	103394299	103394322	chr10_36871	5	-	24	5	103394302
chr10	103396408	103396449	chr10_36879	7	-	42	7	103396427
chr10	103602480	103602529	chr10_36909	6	-	50	6	103602502
chr10	112907160	112907184	chr10_29200	4	+	25	4	112907162
chr10	113904835	113904867	chr10_29396	4	+	33	4	113904836
chr10	118754669	118754697	chr10_37681	4	-	29	4	118754677
chr10	119042095	119042149	chr10_37706	7	-	55	6	119042123
chr10	119080667	119080721	chr10_37769	10	-	55	10	119080694
chr10	123154911	123154948	chr10_29855	4	+	38	4	123154930
chr10	124418873	124418919	chr10_38147	5	-	47	5	124418882
chr10	125773854	125773878	chr10_38527	12	-	25	12	125773857
chr10	128103239	128103422	chr10_38624	5	-	184	5	128103274
chr10	131906663	131906712	chr10_30339	5	+	50	5	131906673
chr10	133289917	133289967	chr10_38924	4	-	51	4	133289942
chr10	133362552	133362591	chr10_38999	4	-	40	4	133362572
chr10	133370610	133370669	chr10_39016	5	-	60	4	133370619
chr11	463461	463510	chr11_11665	10	-	50	10	463480
chr11	535280	535314	chr11_11695	5	-	35	5	535283
chr11	608400	608451	chr11_235	5	+	52	5	608404
chr11	770712	770797	chr11_11785	7	-	86	5	770753
chr11	809976	810039	chr11_348	16	+	64	10	809987
chr11	811680	811814	chr11_354	88	+	135	35	811771
chr11	819777	819839	chr11_363	6	+	63	4	819817
chr11	838172	838224	chr11_410	5	+	53	4	838197
chr11	840284	840313	chr11_11862	5	-	30	5	840293
chr11	1752876	1752953	chr11_12059	6	-	78	5	1752921
chr11	1753052	1753184	chr11_12061	11	-	133	5	1753083
chr11	1753560	1753630	chr11_12066	9	-	71	7	1753584
chr11	1754905	1754976	chr11_12073	7	-	72	5	1754921
chr11	2377524	2377576	chr11_618	7	+	53	7	2377547
chr11	2377583	2377615	chr11_619	6	+	33	6	2377603
chr11	2390411	2390452	chr11_637	8	+	42	6	2390411
chr11	2394103	2394192	chr11_645	14	+	90	9	2394141
chr11	2395470	2395520	chr11_650	12	+	51	6	2395485
chr11	2395868	2395959	chr11_651	10	+	92	7	2395876
chr11	2396635	2396677	chr11_652	6	+	43	6	2396652
chr11	2397018	2397104	chr11_655	8	+	87	6	2397072
chr11	2397105	2397337	chr11_656	18	+	233	5	2397277
chr11	2662482	2662523	chr11_12184	5	-	42	5	2662495
chr11	2929075	2929134	chr11_12296	4	-	60	4	2929101
chr11	2963770	2963893	chr11_12308	50	-	124	17	2963812
chr11	7089607	7089629	chr11_1126	9	+	23	9	7089610
chr11	7704575	7704595	chr11_12771	4	-	21	4	7704576
chr11	8682806	8682816	chr11_1239	20	+	11	20	8682811
chr11	8683201	8683242	chr11_1241	20	+	42	20	8683201
chr11	8684226	8684356	chr11_1243	26	+	131	10	8684323
chr11	8685433	8685568	chr11_1245	50	+	136	21	8685531
chr11	9428790	9428821	chr11_1312	5	+	32	5	9428790
chr11	9428854	9428952	chr11_1313	12	+	99	5	9428919
chr11	9461024	9461067	chr11_1333	4	+	44	4	9461048
chr11	10801467	10801532	chr11_13192	20	-	66	17	10801488
chr11	10801536	10801606	chr11_13193	11	-	71	8	10801576
chr11	10805965	10806034	chr11_13213	12	-	70	11	10805979
chr11	10808850	10808916	chr11_13222	9	-	67	7	10808875
chr11	14562064	14562088	chr11_1791	5	+	25	5	14562067
chr11	17074651	17074700	chr11_13720	9	-	50	9	17074665
chr11	17074703	17074745	chr11_13721	10	-	43	10	17074723
chr11	17075777	17075825	chr11_13724	6	-	49	5	17075780
chr11	18394565	18394654	chr11_2056	17	+	90	8	18394628
chr11	18396818	18396968	chr11_2062	13	+	151	7	18396818
chr11	18455853	18455872	chr11_14054	5	-	20	5	18455854
chr11	21000878	21000925	chr11_14105	10	-	48	10	21000904
chr11	30992608	30992634	chr11_2401	5	+	27	5	30992609
chr11	32588618	32588664	chr11_2549	5	+	47	5	32588639
chr11	32613920	32613939	chr11_2569	3	+	20	3	32613921
chr11	34052605	34052636	chr11_2735	4	+	32	4	34052611
chr11	34076243	34076298	chr11_2753	5	+	56	4	34076257
chr11	34149127	34149163	chr11_2841	4	+	37	4	34149143
chr11	36268934	36268961	chr11_3065	5	+	28	5	36268937
chr11	44171676	44171742	chr11_3352	5	+	67	5	44171716
chr11	46762390	46762459	chr11_15111	13	-	70	9	46762404
