#Chr	Start	End	PeakID	Tags	Strand	Length	maxHeight	Summit	regionInfo	GeneID	Symbol	Chr	GeneType	Description
chr20	58909521	58909603	chr20_476749	17	+	83	10	58909548	CDS:0.71;intron:0.29;	ENSG00000087460.23	GNAS	chr20	protein_coding	GNAS complex locus
chr20	34112102	34112216	chr20_482368	15	-	115	8	34112133	five_prime_UTR:0.93;CDS:0.07;	ENSG00000125977.6	EIF2S2	chr20	protein_coding	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa
chr20	32149578	32149694	chr20_471402	6	+	117	5	32149637	CDS:0.53;intron:0.47;	ENSG00000101337.15	TM9SF4	chr20	protein_coding	transmembrane 9 superfamily protein member 4
chr20	62799624	62799691	chr20_477496	5	+	68	4	62799638	three_prime_UTR:0.72;CDS:0.28;	ENSG00000101189.6	MRGBP	chr20	protein_coding	MRG/MORF4L binding protein
chr20	12951900	12951948	chr20_469618	6	+	49	5	12951912	antisense;	ENSG00000233048.1	RP5-1069C8.2	chr20	lincRNA		--
chr20	43681783	43681828	chr20_474200	7	+	46	6	43681784	CDS:1.0;	ENSG00000101057.15	MYBL2	chr20	protein_coding	v-myb avian myeloblastosis viral oncogene homolog-like 2
chr20	2656623	2656694	chr20_467797	25	+	72	19	2656671	intron:1.0;	ENSG00000101361.14	NOP56	chr20	protein_coding	NOP56 ribonucleoprotein
chr20	48827871	48827923	chr20_485706	2	-	53	2	48827899	five_prime_UTR:0.23;intron:0.77;	ENSG00000124126.13	PREX1	chr20	protein_coding	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1
chr20	3784697	3784762	chr20_479316	7	-	66	6	3784708	CDS:1.0;	ENSG00000125817.7	CENPB	chr20	protein_coding	centromere protein B, 80kDa
chr20	12951777	12951817	chr20_469617	9	+	41	9	12951791	antisense;	ENSG00000233048.1	RP5-1069C8.2	chr20	lincRNA		--
chr20	62139780	62139889	chr20_487621	19	-	110	7	62139786	CDS:1.0;	ENSG00000101182.14	PSMA7	chr20	protein_coding	proteasome (prosome, macropain) subunit, alpha type, 7
chr20	62387094	62387133	chr20_477363	8	+	40	8	62387112	five_prime_UTR:0.46;intron:0.54;	ENSG00000171858.17	RPS21	chr20	protein_coding	ribosomal protein S21
chr20	58840849	58840894	chr20_487298	6	-	46	6	58840853	intron:1.0;	ENSG00000235590.7	GNAS-AS1	chr20	antisense	GNAS antisense RNA 1
chr20	43702779	43702862	chr20_474235	7	+	84	5	43702813	CDS:1.0;	ENSG00000101057.15	MYBL2	chr20	protein_coding	v-myb avian myeloblastosis viral oncogene homolog-like 2
chr20	30514339	30514385	chr20_481827	11	-	47	11	30514352	intergenic;	--
chr20	38585641	38585660	chr20_484150	5	-	20	5	38585643	antisense;	ENSG00000182035.11	ADIG	chr20	protein_coding	adipogenin
chr20	44906000	44906096	chr20_474446	5	+	97	5	44906078	CDS:1.0;	ENSG00000166913.12	YWHAB	chr20	protein_coding	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta
chr20	49046367	49046447	chr20_475246	9	+	81	5	49046419	five_prime_UTR:0.7;intron:0.3;	ENSG00000124207.16	CSE1L	chr20	protein_coding	CSE1 chromosome segregation 1-like (yeast)
chr20	409941	410050	chr20_467347	9	+	110	5	409976	intron:1.0;	ENSG00000125826.19	RBCK1	chr20	protein_coding	RanBP-type and C3HC4-type zinc finger containing 1
chr20	37203926	37203960	chr20_473074	9	+	35	8	37203958	CDS:1.0;	ENSG00000118705.16	RPN2	chr20	protein_coding	ribophorin II
chr20	44938087	44938172	chr20_474512	5	+	86	5	44938144	CDS:1.0;	ENSG00000101104.12	PABPC1L	chr20	protein_coding	poly(A) binding protein, cytoplasmic 1-like
chr20	2838090	2838125	chr20_478925	5	-	36	5	2838102	intron:1.0;	ENSG00000132635.16	PCED1A	chr20	protein_coding	PC-esterase domain containing 1A
chr20	388081	388154	chr20_467327	5	+	74	4	388116	CDS:1.0;	ENSG00000101255.10	TRIB3	chr20	protein_coding	tribbles pseudokinase 3
chr20	33685599	33685673	chr20_482305	7	-	75	5	33685652	intron:1.0;	ENSG00000101412.12	E2F1	chr20	protein_coding	E2F transcription factor 1
chr20	3786282	3786396	chr20_479335	12	-	115	7	3786313	CDS:1.0;	ENSG00000125817.7	CENPB	chr20	protein_coding	centromere protein B, 80kDa
chr20	50894155	50894211	chr20_486207	6	-	57	5	50894169	CDS:1.0;	ENSG00000101126.15	ADNP	chr20	protein_coding	activity-dependent neuroprotector homeobox
chr20	33401427	33401473	chr20_482148	5	-	47	4	33401436	five_prime_UTR:1.0;	ENSG00000101391.20	CDK5RAP1	chr20	protein_coding	CDK5 regulatory subunit associated protein 1
chr20	51010043	51010124	chr20_486358	5	-	82	4	51010080	CDS:1.0;	ENSG00000026559.13	KCNG1	chr20	protein_coding	potassium channel, voltage gated modifier subfamily G, member 1
chr20	35279074	35279131	chr20_482949	5	-	58	4	35279108	intron:1.0;	ENSG00000261582.1	RP4-614O4.11	chr20	antisense		--
chr20	32429520	32429558	chr20_471627	5	+	39	5	32429535	intron:1.0;	ENSG00000171456.16	ASXL1	chr20	protein_coding	additional sex combs like transcriptional regulator 1
chr20	23633885	23633942	chr20_481165	9	-	58	6	23633908	three_prime_UTR:0.53;CDS:0.47;	ENSG00000101439.8	CST3	chr20	protein_coding	cystatin C
chr20	34852413	34852461	chr20_482658	7	-	49	7	34852438	CDS:1.0;	ENSG00000131067.16	GGT7	chr20	protein_coding	gamma-glutamyltransferase 7
chr20	41164080	41164115	chr20_473859	5	+	36	5	41164081	CDS:1.0;	ENSG00000124181.14	PLCG1	chr20	protein_coding	phospholipase C, gamma 1
chr20	2655106	2655206	chr20_467780	19	+	101	12	2655134	intron:1.0;	ENSG00000101361.14	NOP56	chr20	protein_coding	NOP56 ribonucleoprotein
chr20	43667117	43667200	chr20_474178	12	+	84	8	43667131	five_prime_UTR:0.53;intron:0.47;	ENSG00000101057.15	MYBL2	chr20	protein_coding	v-myb avian myeloblastosis viral oncogene homolog-like 2
chr20	31549028	31549114	chr20_471063	14	+	87	9	31549068	CDS:1.0;	ENSG00000101294.16	HM13	chr20	protein_coding	histocompatibility (minor) 13
chr20	36891351	36891419	chr20_483780	6	-	69	5	36891384	three_prime_UTR:1.0;	ENSG00000101347.8	SAMHD1	chr20	protein_coding	SAM domain and HD domain 1
chr20	5119583	5119713	chr20_479653	12	-	131	5	5119654	CDS:1.0;	ENSG00000132646.10	PCNA	chr20	protein_coding	proliferating cell nuclear antigen
chr20	37236579	37236675	chr20_473116	10	+	97	6	37236604	CDS:1.0;	ENSG00000118705.16	RPN2	chr20	protein_coding	ribophorin II
chr20	35504875	35504920	chr20_472524	5	+	46	5	35504893	CDS:1.0;	ENSG00000126001.15	CEP250	chr20	protein_coding	centrosomal protein 250kDa
chr20	37229972	37230051	chr20_473103	14	+	80	9	37230018	CDS:1.0;	ENSG00000118705.16	RPN2	chr20	protein_coding	ribophorin II
chr20	25226256	25226304	chr20_470766	5	+	49	5	25226281	three_prime_UTR:1.0;	ENSG00000197586.12	ENTPD6	chr20	protein_coding	ectonucleoside triphosphate diphosphohydrolase 6 (putative)
chr20	32331561	32331618	chr20_471532	4	+	58	4	32331582	three_prime_UTR:1.0;	ENSG00000101350.7	KIF3B	chr20	protein_coding	kinesin family member 3B
chr20	3047829	3047935	chr20_468090	8	+	107	4	3047877	three_prime_UTR:0.62;CDS:0.38;	ENSG00000125901.5	MRPS26	chr20	protein_coding	mitochondrial ribosomal protein S26
chr20	31561659	31561717	chr20_471128	6	+	59	6	31561687	CDS:1.0;	ENSG00000101294.16	HM13	chr20	protein_coding	histocompatibility (minor) 13
chr20	41172273	41172289	chr20_473899	5	+	17	5	41172288	CDS:1.0;	ENSG00000124181.14	PLCG1	chr20	protein_coding	phospholipase C, gamma 1
chr20	20033150	20033210	chr20_470377	7	+	61	6	20033187	three_prime_UTR:1.0;	ENSG00000173418.11	NAA20	chr20	protein_coding	N(alpha)-acetyltransferase 20, NatB catalytic subunit
chr20	58891389	58891555	chr20_476684	19	+	167	8	58891506	five_prime_UTR:1.0;	ENSG00000087460.23	GNAS	chr20	protein_coding	GNAS complex locus
chr20	25390658	25390698	chr20_481445	5	-	41	5	25390673	CDS:1.0;	ENSG00000100997.18	ABHD12	chr20	protein_coding	abhydrolase domain containing 12
chr20	44906381	44906404	chr20_474447	5	+	24	5	44906381	CDS:1.0;	ENSG00000166913.12	YWHAB	chr20	protein_coding	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta
chr20	26209323	26209376	chr20_481756	18	-	54	18	26209348	intron:1.0;	ENSG00000227195.8	MIR663AHG	chr20	processed_transcript	MIR663A host gene
chr20	37095821	37095908	chr20_483854	7	-	88	4	37095860	CDS:1.0;	ENSG00000080839.11	RBL1	chr20	protein_coding	retinoblastoma-like 1
chr20	62308020	62308062	chr20_477346	5	+	43	5	62308028	CDS:1.0;	ENSG00000130706.12	ADRM1	chr20	protein_coding	adhesion regulating molecule 1
chr20	43687018	43687072	chr20_474214	12	+	55	8	43687022	CDS:1.0;	ENSG00000101057.15	MYBL2	chr20	protein_coding	v-myb avian myeloblastosis viral oncogene homolog-like 2
chr20	63495855	63495930	chr20_488390	7	-	76	5	63495855	CDS:1.0;	ENSG00000101210.10	EEF1A2	chr20	protein_coding	eukaryotic translation elongation factor 1 alpha 2
chr20	49886808	49886864	chr20_475534	5	+	57	5	49886844	CDS:1.0;	ENSG00000197818.11	SLC9A8	chr20	protein_coding	solute carrier family 9, subfamily A (NHE8, cation proton antiporter 8), member 8
chr20	58909950	58910024	chr20_476752	14	+	75	7	58909966	CDS:1.0;	ENSG00000087460.23	GNAS	chr20	protein_coding	GNAS complex locus
chr20	62310939	62310986	chr20_487673	6	-	48	6	62310957	CDS:1.0;	ENSG00000130702.13	LAMA5	chr20	protein_coding	laminin, alpha 5
chr20	46353511	46353574	chr20_485153	6	-	64	6	46353533	intron:1.0;	ENSG00000080189.14	SLC35C2	chr20	protein_coding	solute carrier family 35 (GDP-fucose transporter), member C2
chr20	44955076	44955104	chr20_484820	4	-	29	4	44955082	CDS:1.0;	ENSG00000025772.7	TOMM34	chr20	protein_coding	translocase of outer mitochondrial membrane 34
chr20	63283397	63283475	chr20_477691	8	+	79	7	63283417	intron:1.0;	ENSG00000101199.12	ARFGAP1	chr20	protein_coding	ADP-ribosylation factor GTPase activating protein 1
chr20	3191189	3191235	chr20_479077	9	-	47	9	3191206	CDS:1.0;	ENSG00000198171.12	DDRGK1	chr20	protein_coding	DDRGK domain containing 1
chr20	35727103	35727144	chr20_483377	6	-	42	6	35727116	intron:1.0;	ENSG00000131051.20	RBM39	chr20	protein_coding	RNA binding motif protein 39
chr20	43667275	43667303	chr20_474180	5	+	29	5	43667291	five_prime_UTR:0.29;CDS:0.71;	ENSG00000101057.15	MYBL2	chr20	protein_coding	v-myb avian myeloblastosis viral oncogene homolog-like 2
chr20	50191030	50191080	chr20_475615	5	+	51	4	50191032	five_prime_UTR:0.06;CDS:0.94;	ENSG00000172216.5	CEBPB	chr20	protein_coding	CCAAT/enhancer binding protein (C/EBP), beta
chr20	62310480	62310572	chr20_487666	12	-	93	10	62310519	CDS:1.0;	ENSG00000130702.13	LAMA5	chr20	protein_coding	laminin, alpha 5
chr20	63742878	63742994	chr20_478034	11	+	117	5	63742905	three_prime_UTR:0.03;CDS:0.97;	ENSG00000125520.13	SLC2A4RG	chr20	protein_coding	SLC2A4 regulator
chr20	34292357	34292377	chr20_482438	6	-	21	6	34292357	CDS:1.0;	ENSG00000101444.12	AHCY	chr20	protein_coding	adenosylhomocysteinase
chr20	49280323	49280419	chr20_475413	76	+	97	44	49280342	intron:1.0;	ENSG00000177410.12	ZFAS1	chr20	antisense	ZNFX1 antisense RNA 1
chr20	62322268	62322388	chr20_487735	10	-	121	6	62322334	CDS:1.0;	ENSG00000130702.13	LAMA5	chr20	protein_coding	laminin, alpha 5
chr20	57265918	57266097	chr20_487008	19	-	180	9	57266059	CDS:1.0;	ENSG00000101144.12	BMP7	chr20	protein_coding	bone morphogenetic protein 7
chr20	43702721	43702765	chr20_474234	7	+	45	7	43702727	CDS:1.0;	ENSG00000101057.15	MYBL2	chr20	protein_coding	v-myb avian myeloblastosis viral oncogene homolog-like 2
chr20	326540	326565	chr20_478457	17	-	26	17	326545	intron:1.0;	ENSG00000225377.5	NRSN2-AS1	chr20	antisense	NRSN2 antisense RNA 1
chr20	2467667	2467713	chr20_478827	14	-	47	14	2467685	CDS:1.0;	ENSG00000125835.17	SNRPB	chr20	protein_coding	small nuclear ribonucleoprotein polypeptides B and B1
chr20	34075879	34075929	chr20_472160	5	+	51	5	34075892	CDS:1.0;	ENSG00000125970.11	RALY	chr20	protein_coding	RALY heterogeneous nuclear ribonucleoprotein
chr20	4248739	4248759	chr20_479419	5	-	21	5	4248741	CDS:1.0;	ENSG00000171873.7	ADRA1D	chr20	protein_coding	adrenoceptor alpha 1D
chr20	34295484	34295535	chr20_482455	5	-	52	5	34295510	CDS:1.0;	ENSG00000101444.12	AHCY	chr20	protein_coding	adenosylhomocysteinase
chr20	36585829	36585875	chr20_472967	5	+	47	5	36585842	intron:1.0;	ENSG00000118707.9	TGIF2	chr20	protein_coding	TGFB-induced factor homeobox 2
chr20	5197168	5197218	chr20_468719	5	+	51	5	5197190	three_prime_UTR:1.0;	ENSG00000101290.13	CDS2	chr20	protein_coding	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2
chr20	63493198	63493279	chr20_488377	9	-	82	7	63493215	CDS:1.0;	ENSG00000101210.10	EEF1A2	chr20	protein_coding	eukaryotic translation elongation factor 1 alpha 2
chr20	58909170	58909216	chr20_476747	18	+	47	16	58909211	CDS:1.0;	ENSG00000087460.23	GNAS	chr20	protein_coding	GNAS complex locus
chr20	33677267	33677330	chr20_482273	6	-	64	5	33677272	CDS:1.0;	ENSG00000101412.12	E2F1	chr20	protein_coding	E2F transcription factor 1
chr20	30514411	30514472	chr20_481828	35	-	62	35	30514435	intergenic;	--
chr20	35548508	35548609	chr20_472593	9	+	102	5	35548541	CDS:1.0;	ENSG00000125991.18	ERGIC3	chr20	protein_coding	ERGIC and golgi 3
chr20	58910381	58910401	chr20_476756	6	+	21	6	58910397	CDS:1.0;	ENSG00000087460.23	GNAS	chr20	protein_coding	GNAS complex locus
chr20	36190676	36190735	chr20_472791	6	+	60	6	36190699	CDS:1.0;	ENSG00000088367.20	EPB41L1	chr20	protein_coding	erythrocyte membrane protein band 4.1-like 1
chr20	50082281	50082319	chr20_485989	5	-	39	5	50082288	three_prime_UTR:1.0;	ENSG00000244687.11	UBE2V1	chr20	protein_coding	ubiquitin-conjugating enzyme E2 variant 1
chr20	53568141	53568177	chr20_486748	4	-	37	4	53568143	three_prime_UTR:1.0;	ENSG00000171940.13	ZNF217	chr20	protein_coding	zinc finger protein 217
chr20	31550063	31550113	chr20_471073	7	+	51	6	31550076	CDS:1.0;	ENSG00000101294.16	HM13	chr20	protein_coding	histocompatibility (minor) 13
chr20	63289029	63289117	chr20_477737	13	+	89	7	63289054	three_prime_UTR:1.0;	ENSG00000101199.12	ARFGAP1	chr20	protein_coding	ADP-ribosylation factor GTPase activating protein 1
chr20	38033833	38033890	chr20_473344	6	+	58	6	38033857	five_prime_UTR:1.0;	ENSG00000101413.11	RPRD1B	chr20	protein_coding	regulation of nuclear pre-mRNA domain containing 1B
chr20	62387333	62387388	chr20_477364	18	+	56	18	62387352	five_prime_UTR:0.09;CDS:0.91;	ENSG00000171858.17	RPS21	chr20	protein_coding	ribosomal protein S21
chr20	2657188	2657242	chr20_467806	7	+	55	7	2657210	CDS:0.56;intron:0.44;	ENSG00000101361.14	NOP56	chr20	protein_coding	NOP56 ribonucleoprotein
chr20	62388340	62388364	chr20_477371	9	+	25	9	62388362	CDS:1.0;	ENSG00000171858.17	RPS21	chr20	protein_coding	ribosomal protein S21
chr20	49085329	49085368	chr20_475316	5	+	40	5	49085349	CDS:1.0;	ENSG00000124207.16	CSE1L	chr20	protein_coding	CSE1 chromosome segregation 1-like (yeast)
chr20	3864518	3864592	chr20_468375	8	+	75	6	3864543	CDS:1.0;	ENSG00000088888.17	MAVS	chr20	protein_coding	mitochondrial antiviral signaling protein
chr20	2656053	2656181	chr20_467791	30	+	129	23	2656103	intron:1.0;	ENSG00000101361.14	NOP56	chr20	protein_coding	NOP56 ribonucleoprotein
chr20	62318588	62318650	chr20_487721	7	-	63	6	62318624	CDS:1.0;	ENSG00000130702.13	LAMA5	chr20	protein_coding	laminin, alpha 5
chr20	62143260	62143424	chr20_487630	14	-	165	7	62143334	five_prime_UTR:0.74;CDS:0.26;	ENSG00000101182.14	PSMA7	chr20	protein_coding	proteasome (prosome, macropain) subunit, alpha type, 7
chr20	30487415	30487477	chr20_481803	15	-	63	15	30487429	intergenic;	--
chr20	33993961	33994045	chr20_472084	7	+	85	5	33993989	five_prime_UTR:1.0;	ENSG00000125970.11	RALY	chr20	protein_coding	RALY heterogeneous nuclear ribonucleoprotein
chr20	6767963	6768041	chr20_468904	6	+	79	5	6768002	five_prime_UTR:1.0;	ENSG00000125845.6	BMP2	chr20	protein_coding	bone morphogenetic protein 2
chr20	31569158	31569206	chr20_471182	9	+	49	8	31569180	three_prime_UTR:1.0;	ENSG00000101294.16	HM13	chr20	protein_coding	histocompatibility (minor) 13
chr20	62139080	62139136	chr20_487614	9	-	57	7	62139094	CDS:1.0;	ENSG00000101182.14	PSMA7	chr20	protein_coding	proteasome (prosome, macropain) subunit, alpha type, 7
chr20	62063738	62063784	chr20_487584	4	-	47	4	62063750	intron:1.0;	ENSG00000130699.16	TAF4	chr20	protein_coding	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa
chr20	38449413	38449464	chr20_473446	9	+	52	5	38449417	intron:1.0;	ENSG00000174365.19	SNHG11	chr20	processed_transcript	small nucleolar RNA host gene 11
chr20	38425194	38425277	chr20_484084	44	-	84	24	38425213	intron:1.0;	ENSG00000196756.11	SNHG17	chr20	processed_transcript	small nucleolar RNA host gene 17
chr20	58910025	58910081	chr20_476753	13	+	57	8	58910072	CDS:1.0;	ENSG00000087460.23	GNAS	chr20	protein_coding	GNAS complex locus
chr20	63933757	63933870	chr20_478211	8	+	114	5	63933789	three_prime_UTR:1.0;	ENSG00000101152.10	DNAJC5	chr20	protein_coding	DnaJ (Hsp40) homolog, subfamily C, member 5
chr20	34872700	34872809	chr20_482710	8	-	110	5	34872781	CDS:1.0;	ENSG00000131067.16	GGT7	chr20	protein_coding	gamma-glutamyltransferase 7
chr20	3784603	3784658	chr20_479314	5	-	56	5	3784616	three_prime_UTR:1.0;	ENSG00000125817.7	CENPB	chr20	protein_coding	centromere protein B, 80kDa
chr20	17614784	17614855	chr20_480366	8	-	72	6	17614814	CDS:1.0;	ENSG00000125844.15	RRBP1	chr20	protein_coding	ribosome binding protein 1
chr20	38427296	38427471	chr20_484099	74	-	176	34	38427367	intron:1.0;	ENSG00000196756.11	SNHG17	chr20	processed_transcript	small nucleolar RNA host gene 17
chr20	50921979	50922025	chr20_486283	5	-	47	5	50921996	intron:1.0;	ENSG00000101126.15	ADNP	chr20	protein_coding	activity-dependent neuroprotector homeobox
chr20	2463115	2463227	chr20_478818	15	-	113	7	2463199	CDS:1.0;	ENSG00000125835.17	SNRPB	chr20	protein_coding	small nuclear ribonucleoprotein polypeptides B and B1
chr20	17621689	17621706	chr20_480391	5	-	18	5	17621689	CDS:1.0;	ENSG00000125844.15	RRBP1	chr20	protein_coding	ribosome binding protein 1
chr20	23637619	23637637	chr20_481174	5	-	19	5	23637619	CDS:1.0;	ENSG00000101439.8	CST3	chr20	protein_coding	cystatin C
chr20	45893219	45893254	chr20_474844	5	+	36	5	45893219	CDS:1.0;	ENSG00000064601.16	CTSA	chr20	protein_coding	cathepsin A
chr20	6768144	6768243	chr20_468906	5	+	100	4	6768171	five_prime_UTR:1.0;	ENSG00000125845.6	BMP2	chr20	protein_coding	bone morphogenetic protein 2
chr20	43686891	43686956	chr20_474212	8	+	66	5	43686903	CDS:1.0;	ENSG00000101057.15	MYBL2	chr20	protein_coding	v-myb avian myeloblastosis viral oncogene homolog-like 2
chr20	327620	327697	chr20_467272	6	+	78	5	327669	three_prime_UTR:1.0;	ENSG00000177732.7	SOX12	chr20	protein_coding	SRY (sex determining region Y)-box 12
chr20	9774683	9774707	chr20_479813	6	-	25	6	9774687	intron:1.0;	ENSG00000101349.16	PAK7	chr20	protein_coding	p21 protein (Cdc42/Rac)-activated kinase 7
chr20	31554741	31554842	chr20_471104	15	+	102	6	31554765	CDS:0.83;intron:0.17;	ENSG00000101294.16	HM13	chr20	protein_coding	histocompatibility (minor) 13
chr20	3862325	3862384	chr20_468362	7	+	60	5	3862359	CDS:1.0;	ENSG00000088888.17	MAVS	chr20	protein_coding	mitochondrial antiviral signaling protein
chr20	62303663	62303737	chr20_477328	10	+	75	7	62303682	CDS:1.0;	ENSG00000130706.12	ADRM1	chr20	protein_coding	adhesion regulating molecule 1
chr20	58669405	58669453	chr20_476563	7	+	49	6	58669410	CDS:1.0;	ENSG00000124222.21	STX16	chr20	protein_coding	syntaxin 16
chr20	37232358	37232391	chr20_473108	12	+	34	11	37232389	CDS:1.0;	ENSG00000118705.16	RPN2	chr20	protein_coding	ribophorin II
chr20	37234019	37234063	chr20_473109	11	+	45	9	37234019	CDS:1.0;	ENSG00000118705.16	RPN2	chr20	protein_coding	ribophorin II
chr20	62346105	62346201	chr20_487839	9	-	97	6	62346163	CDS:1.0;	ENSG00000130702.13	LAMA5	chr20	protein_coding	laminin, alpha 5
chr20	17660187	17660254	chr20_480472	6	-	68	5	17660198	CDS:1.0;	ENSG00000125844.15	RRBP1	chr20	protein_coding	ribosome binding protein 1
chr20	23635291	23635378	chr20_481169	15	-	88	9	23635358	CDS:0.87;intron:0.13;	ENSG00000101439.8	CST3	chr20	protein_coding	cystatin C
chr20	35954197	35954331	chr20_483441	12	-	135	6	35954245	five_prime_UTR:0.35;CDS:0.65;	ENSG00000171222.10	SCAND1	chr20	protein_coding	SCAN domain containing 1
chr20	34291485	34291537	chr20_482436	10	-	53	8	34291526	CDS:0.88;intron:0.12;	ENSG00000101444.12	AHCY	chr20	protein_coding	adenosylhomocysteinase
